inclusive_topic_number,matched_sensitivity_topic_number,shared_vocabulary_cosine_similarity,top_20_term_jaccard,shared_top_20_term_count,inclusive_dominant_share,sensitivity_dominant_share,absolute_prevalence_difference,inclusive_top_20_terms,sensitivity_top_20_terms,shared_top_terms
1,5,0.8096413214289736,0.3333333333333333,10,0.12027896237306505,0.1575287573071846,0.03724979493411955,house | not | just | when | never | years | no | like | good | more | old | time | heating | new | way | over | people | windows | problem | really,house | heating | when | water | room | no | temperature | hot | old | years | boiler | just | cold | more | time | windows | radiators | winter | set | year,heating | house | just | more | no | old | time | when | windows | years
2,2,0.9996485655157081,1.0,20,0.03854581438635346,0.03919950971148407,0.0006536953251306057,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | foam not | attic | seal | cell foam | wool | mortgage,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | foam not | attic | seal | cell foam | wool | mortgage,attic | board | cell | cell foam | cell spray | closed | closed cell | expanding | expanding foam | foam | foam board | foam insulation | foam not | mortgage | seal | spray | spray foam | use | use spray | wool
3,3,0.9997075902627294,0.9047619047619048,19,0.06611219753551822,0.07314256081463323,0.007030363279115007,what | what happens | happens | know what | what brand | using | what would | what kind | brand | kind | what cost | what did | what size | size | called | know | cost | what type | use | doing,what | what would | using | what happens | happens | what brand | what kind | know what | brand | kind | what did | what cost | what size | size | doing | use | cost | called | what type | type,brand | called | cost | doing | happens | kind | know what | size | use | using | what | what brand | what cost | what did | what happens | what kind | what size | what type | what would
4,4,0.9991934360560734,0.7391304347826086,17,0.05581603562424899,0.06265321516122949,0.006837179536980494,how | cost | how did | how does | how long | know | long | how would | know how | how cost | how know | video how | how fix | fix | how install | not how | did cost | does cost | insulate | set,how | cost | how did | how does | how long | know | how would | long | know how | how cost | how know | how fix | would | fix | how install | hi | not how | insulate | did cost | how insulate,cost | did cost | fix | how | how cost | how did | how does | how fix | how install | how know | how long | how would | insulate | know | know how | long | not how
5,7,0.9705298242268725,0.6666666666666666,16,0.069858398322456,0.052753158589477656,0.01710523973297834,heat | pump | heat pump | gas | water | pumps | heating | heat pumps | boiler | hot | hot water | temperature | electric | air | radiators | furnace | heater | loss | heat loss | run,heat | pump | heat pump | pumps | gas | heat pumps | furnace | electric | air | water | boiler | loss | heat loss | source | cost | unit | heating | gas boiler | heater | run,air | boiler | electric | furnace | gas | heat | heat loss | heat pump | heat pumps | heater | heating | loss | pump | pumps | run | water
6,16,0.0957850265160241,0.05263157894736842,2,0.08835379214475886,0.040425231001320006,0.04792856114343885,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question | informative | thanks great | video what | job | helpful | nice | excellent | sharing | good | really,never | seen | never seen | never knew | knew | years | heard | never heard | would never | before | never use | work | like | good | job | way | years never | people | new | never thought,good | job
7,6,0.9712770562408742,0.8181818181818182,18,0.04132601371250854,0.03549877427871016,0.005827239433798377,why | why not | not | use | why would | not just | not use | why did | just | instead | understand | just use | why use | why does | know why | would not | understand why | illegal | not understand | why no,why | why not | why would | why did | use | not | not just | not use | just | instead | why does | why use | illegal | know why | why no | understand why | just use | understand | question why | reason why,illegal | instead | just | just use | know why | not | not just | not use | understand | understand why | use | why | why did | why does | why no | why not | why use | why would
8,15,0.9951003617677725,0.8181818181818182,18,0.08010743821124802,0.07908259475768432,0.001024843453563698,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost | charge | energy | use | solar panel | electric | kwh | more | electricity | need | day,solar | panels | battery | solar panels | power | panel | cost | inverter | batteries | grid | charge | energy | solar panel | more | use | electric | kwh | electricity | install | price,batteries | battery | charge | cost | electric | electricity | energy | grid | inverter | kwh | more | panel | panels | power | solar | solar panel | solar panels | use
9,8,0.958933570900053,0.6666666666666666,16,0.05737106236599675,0.05572317556100321,0.0016478868049935383,does | does not | not | work | how does | does work | not work | mean | need | what does | matter | not need | does cost | does mean | why does | know | does know | where does | does need | foam does,does | does not | work | how does | does work | not work | not | mean | what does | matter | does cost | why does | does mean | where does | does know | when | does need | does matter | does heat | come,does | does cost | does know | does mean | does need | does not | does work | how does | matter | mean | not | not work | what does | where does | why does | work
10,9,0.9936563775399855,0.6,15,0.04038357326296445,0.04504525740147087,0.004661684138506421,did | did not | how did | not | why did | did use | what did | where did | use | did cost | job | not know | cost | install | say | work | video did | know | did install | not use,did | did not | how did | why did | did use | what did | where did | use | did cost | job | cost | work | not | years | ago | install | before | years ago | after | did install,cost | did | did cost | did install | did not | did use | how did | install | job | not | use | what did | where did | why did | work
11,10,0.9997857684601416,0.9047619047619048,19,0.024574134721862262,0.022581557608900623,0.001992577112961639,where | buy | where buy | where did | where does | live | know where | link | located | where live | video where | know | based | where would | tool | uk | where not | goes | door | purchase,where | buy | where buy | where did | where does | live | link | know where | door | located | where live | where would | know | based | uk | tool | product | where not | goes | purchase,based | buy | door | goes | know | know where | link | live | located | purchase | tool | uk | where | where buy | where did | where does | where live | where not | where would
12,11,0.9905551120459437,0.7391304347826086,17,0.09558702259500977,0.08082689043937394,0.014760132155635833,roof | air | vents | attic | cold | vent | warm | ridge | ventilation | soffit | gap | space | warm roof | ceiling | through | fan | cold air | between | condensation | air gap,roof | air | vents | attic | vent | cold | warm | ridge | ventilation | soffit | warm roof | space | gap | ceiling | flat | between | fan | through | gable | ridge vent,air | attic | between | ceiling | cold | fan | gap | ridge | roof | soffit | space | through | vent | ventilation | vents | warm | warm roof
13,12,0.9969395156965326,0.8181818181818182,18,0.07716231180642273,0.09442768244389968,0.01726537063747695,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | between | board | brick | damp | loft | plaster | boards | external | concrete | inside | under | internal | exterior,insulation | wall | cavity | walls | floor | wall insulation | cavity wall | damp | between | board | brick | plaster | loft | boards | no | concrete | external | inside | should | under,between | board | boards | brick | cavity | cavity wall | concrete | damp | external | floor | inside | insulation | loft | plaster | under | wall | wall insulation | walls
14,13,0.9954961277846348,1.0,20,0.043422943712744154,0.04935885347916274,0.0059359097664185845,wire | thermostat | wires | boiler | nest | connected | connect | blue | red | need | white | smart | hive | furnace | honeywell | control | common | old | terminal | blue wire,wire | thermostat | wires | nest | boiler | connected | blue | connect | red | white | need | smart | furnace | hive | honeywell | old | common | terminal | control | blue wire,blue | blue wire | boiler | common | connect | connected | control | furnace | hive | honeywell | need | nest | old | red | smart | terminal | thermostat | white | wire | wires
15,14,0.9991898292497048,0.9047619047619048,19,0.03769761798176378,0.03853950594003394,0.0008418879582701641,barrier | vapour | vapour barrier | vapor | vapor barrier | use | moisture | inside | no vapour | joists | foil | drywall | osb | radiant | between | radiant barrier | plasterboard | no | plastic | steve,barrier | vapour | vapour barrier | vapor | vapor barrier | use | moisture | inside | joists | no vapour | foil | drywall | no | osb | radiant | between | radiant barrier | plasterboard | steve | hi,barrier | between | drywall | foil | inside | joists | moisture | no | no vapour | osb | plasterboard | radiant | radiant barrier | steve | use | vapor | vapor barrier | vapour | vapour barrier
16,1,0.5045604405800386,0.17647058823529413,6,0.06340268124307895,0.07321327550443145,0.009810594261352501,would | like | would not | would like | work | recommend | what would | how would | why would | love | would recommend | would need | would love | better | would work | think | could | would use | looks | would never,not | would | like | just | know | good | would not | need | could | use | want | sure | think | make | looks | not know | people | job | really | more,could | like | looks | think | would | would not
