publication_year,videos,topic_number,topic_label,mean_video_relative_weight,dominant_video_share
2019,49,1,Situated household retrofit experience and building context,0.10192463668612078,0.08163265306122448
2019,49,2,Spray foam and foam insulation,0.02212499404340072,0.02040816326530612
2019,49,3,Clarification and specification questions,0.08012942812717722,0.04081632653061224
2019,49,4,"Implementation, cost and how-to questions",0.04816840051925326,0.04081632653061224
2019,49,5,Heat pumps and heating systems,0.03861724656918075,0.02040816326530612
2019,49,6,"Praise, gratitude and social endorsement",0.09915685859766617,0.08163265306122448
2019,49,7,"Alternative methods, challenges and ""why"" questions",0.047204991976192726,0.02040816326530612
2019,49,8,"Solar PV, batteries and power systems",0.03290323633264711,0.02040816326530612
2019,49,9,Performance checking and troubleshooting,0.08690219123281584,0.04081632653061224
2019,49,10,"Implementation follow-up, outcomes and retrospective questions",0.028551402648056813,0.02040816326530612
2019,49,11,"Product sourcing, access and location questions",0.0326800929687432,0.02040816326530612
2019,49,12,Roof and attic ventilation and airflow,0.07493924416989688,0.061224489795918366
2019,49,13,"Wall, cavity and floor insulation",0.1368915839365544,0.30612244897959184
2019,49,14,Thermostat wiring and smart heating controls,0.06796296479311077,0.14285714285714285
2019,49,15,Vapour barriers and moisture control,0.03928268442884011,0.04081632653061224
2019,49,16,"Prospective choices, recommendations and alternatives",0.06256004297034325,0.04081632653061224
2020,54,1,Situated household retrofit experience and building context,0.11528788036069713,0.14814814814814814
2020,54,2,Spray foam and foam insulation,0.01621207155957278,0.0
2020,54,3,Clarification and specification questions,0.08344696846536406,0.05555555555555555
2020,54,4,"Implementation, cost and how-to questions",0.0716386405171071,0.037037037037037035
2020,54,5,Heat pumps and heating systems,0.04134784088311937,0.037037037037037035
2020,54,6,"Praise, gratitude and social endorsement",0.11163913476053529,0.12962962962962962
2020,54,7,"Alternative methods, challenges and ""why"" questions",0.03514285749113961,0.0
2020,54,8,"Solar PV, batteries and power systems",0.061440989495455865,0.12962962962962962
2020,54,9,Performance checking and troubleshooting,0.08559288436720183,0.05555555555555555
2020,54,10,"Implementation follow-up, outcomes and retrospective questions",0.03840382303379461,0.0
2020,54,11,"Product sourcing, access and location questions",0.03074483802797659,0.018518518518518517
2020,54,12,Roof and attic ventilation and airflow,0.06475913529818952,0.1111111111111111
2020,54,13,"Wall, cavity and floor insulation",0.055436600841557854,0.09259259259259259
2020,54,14,Thermostat wiring and smart heating controls,0.0818796905759414,0.14814814814814814
2020,54,15,Vapour barriers and moisture control,0.026851558485983546,0.018518518518518517
2020,54,16,"Prospective choices, recommendations and alternatives",0.08017508583636343,0.018518518518518517
2021,83,1,Situated household retrofit experience and building context,0.13028454471653284,0.14457831325301204
2021,83,2,Spray foam and foam insulation,0.028833082158754388,0.024096385542168676
2021,83,3,Clarification and specification questions,0.06883770418053012,0.060240963855421686
2021,83,4,"Implementation, cost and how-to questions",0.06993139297746719,0.060240963855421686
2021,83,5,Heat pumps and heating systems,0.054255106729123266,0.060240963855421686
2021,83,6,"Praise, gratitude and social endorsement",0.08831087513375592,0.0963855421686747
2021,83,7,"Alternative methods, challenges and ""why"" questions",0.044533876830070276,0.024096385542168676
2021,83,8,"Solar PV, batteries and power systems",0.0707993927048775,0.07228915662650602
2021,83,9,Performance checking and troubleshooting,0.05958542907927539,0.024096385542168676
2021,83,10,"Implementation follow-up, outcomes and retrospective questions",0.03541891608720662,0.04819277108433735
2021,83,11,"Product sourcing, access and location questions",0.02893018126658515,0.012048192771084338
2021,83,12,Roof and attic ventilation and airflow,0.07818154073571754,0.0963855421686747
2021,83,13,"Wall, cavity and floor insulation",0.08753012763682888,0.1566265060240964
2021,83,14,Thermostat wiring and smart heating controls,0.052894219774351256,0.07228915662650602
2021,83,15,Vapour barriers and moisture control,0.03570721005067655,0.03614457831325301
2021,83,16,"Prospective choices, recommendations and alternatives",0.06596639993824714,0.012048192771084338
2022,159,1,Situated household retrofit experience and building context,0.12286828791972772,0.13836477987421383
2022,159,2,Spray foam and foam insulation,0.027714544064224658,0.03773584905660377
2022,159,3,Clarification and specification questions,0.08306195904372238,0.06289308176100629
2022,159,4,"Implementation, cost and how-to questions",0.08846727045073768,0.0880503144654088
2022,159,5,Heat pumps and heating systems,0.07190527491965698,0.14465408805031446
2022,159,6,"Praise, gratitude and social endorsement",0.09482760539996121,0.08176100628930817
2022,159,7,"Alternative methods, challenges and ""why"" questions",0.0479669561422509,0.012578616352201259
2022,159,8,"Solar PV, batteries and power systems",0.04806609378521943,0.0440251572327044
2022,159,9,Performance checking and troubleshooting,0.05959749359303179,0.025157232704402517
2022,159,10,"Implementation follow-up, outcomes and retrospective questions",0.039813605777657586,0.018867924528301886
2022,159,11,"Product sourcing, access and location questions",0.026919412807323025,0.012578616352201259
2022,159,12,Roof and attic ventilation and airflow,0.06691227925192243,0.09433962264150944
2022,159,13,"Wall, cavity and floor insulation",0.06791993836069163,0.1069182389937107
2022,159,14,Thermostat wiring and smart heating controls,0.062357899330565396,0.09433962264150944
2022,159,15,Vapour barriers and moisture control,0.029171879127870993,0.012578616352201259
2022,159,16,"Prospective choices, recommendations and alternatives",0.06242950002543625,0.025157232704402517
2023,249,1,Situated household retrofit experience and building context,0.12836089711851112,0.18072289156626506
2023,249,2,Spray foam and foam insulation,0.02455347548016945,0.024096385542168676
2023,249,3,Clarification and specification questions,0.09163511163662037,0.10441767068273092
2023,249,4,"Implementation, cost and how-to questions",0.07228744450227394,0.05220883534136546
2023,249,5,Heat pumps and heating systems,0.05268098304181361,0.08032128514056225
2023,249,6,"Praise, gratitude and social endorsement",0.07168188812623802,0.040160642570281124
2023,249,7,"Alternative methods, challenges and ""why"" questions",0.057432858231781195,0.028112449799196786
2023,249,8,"Solar PV, batteries and power systems",0.07044826477619551,0.08032128514056225
