candidate_topic_count,topic_number,representative_rank,tfidf_row_index,topic_weight,relative_topic_loading,video_id,comment_id,comment_text,retrofit_topic,creator_type,video_type,primary_theme
8,1,1,1136,0.10179916863094528,1.0,MzSCf_LkyNw,Ugy-u5O1GuWuYQSdmVp4AaABAg,Insulation thief. 😂,loft_roof_insulation,installer_tradesperson,how_to_installation_demo,theme_energy_performance
8,1,2,26808,0.10179916863094528,1.0,fm11vZii5Es,Ugyg1_I19Ehy5_gYI5R4AaABAg,200mm insulation - blimey,loft_roof_insulation,builder_contractor,how_to_installation_demo,theme_energy_performance
8,1,3,2129,0.10179916863094528,1.0,dIPM5yk2u38,UgxDBm2E0cM3Ff05O6h4AaABAg,I have one for insulation!,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_energy_performance
8,1,4,33151,0.07792423360585357,1.0,y3g4Vpec1_M,Ugzd1eOwGHTinM8FjOV4AaABAg,Is that a 300mm wall and 100mm insulation?,damp_condensation_moisture,builder_contractor,how_to_installation_demo,theme_question_request
8,1,5,18021,0.07070532451197217,0.9944876833308192,H51FYrDR5xs,Ugx7Z1UkNwGRUKOEJ3R4AaABAg,"14:40on the inside you can seal the stone work off with a 1"" air gap for drying, then insulation and Vapour Barrier . you connect the air gap all the way up to the attic vented space . the coating to the inside of the stone walls needs to be removed at least mostly removed anyways. that wall needs to have a gap that actually is vented top and bottom. you can probably vent the bottom inside air gap to the outside thru the stone wall. the outside wall needs to be a rain screen, then the insulation and attic is the dry heated conditioned space.",damp_condensation_moisture,diy_renovator_homeowner,project_walkthrough,theme_practical_advice
8,1,6,37306,0.07047365995583656,0.7735944849160353,Lc2D5U4DJew,UgxbWQiZbNopN3zp-wp4AaABAg,"Hi Steve, loving the videos. I am learning quite a bit about vapour barriers and insulation. The only part that confuses me is where to vapour barrier the wall? I'm making a garden room with a warm roof where the osb for the roof will have a sticky vapour barrier applied on top, followed by insulation and then another later of osb on top as you explain in many of your videos. I will be tucking in the insulation in between the joists under the osb on top of the wall as you explain. My question is if i use a barrier on the inside of the wall and take this over the insulation between the joists (where it's been 'tucked'), what would i do about the joist? if i tape around the joints could there still be a dew point inside the joists themselves due to thermal bridging? will air movement pass through the joists (the wood itself) and pass laterally through the osb? is this even an issue I should be concerned about?",loft_roof_insulation,installer_tradesperson,problem_warning_mistakes,theme_question_request
8,1,7,10343,0.0655227525445482,0.8883541728083554,QnFoiUXr4h4,UgyhdmUa1T2hEmPStt94AaABAg,"Im renovating our basement now, the wall framing and insulation is dry and no mold at all. And thats with a vapor barrier. The floor had vapor barrier on the concrete, then 5cm insulation. A lot of water there, so we're doing 10cm xps, then vapor barrier, then 5cm xps with concrete on top. That'll fix the floor issues. But should i put vapour barrier on the walls as well then since its worked fine in the existing walls for 40 years? We're putting up wooden panels again, since it's better than drywall in moist enviroments. Only difference is that we wont put up the black paper stuff behind the wood. just a 2cm air gap with a thick layer of asphalt stuff under the wood so its not in direct contact with the concrete.",damp_condensation_moisture,training_educational,practical_advice_explainer,theme_question_request
8,1,8,12007,0.06546249389322228,0.7370467027327999,i41oW85zPm8,UgyxZu521eN4wLIMSBN4AaABAg,"isn't having insulation in between the joists the same as a warm roof when you think about it though. Because in a warm roof you are saying the vapour barrier/aluminium foil on the kingspan etc is effective enough to stop moisture getting thorugh to the cold side of the insulation to the osb that is on top of the kingspan or similar and causing rot. So I would have thought a good vapour barrier behind the plasterboard, seams taped and a service cavity with battens so there is no holes from wiring or downlights etc would be just as effective. I think the problem arises with older houses where roofers come along and just put on a cold roof and leave it at that without touching the inside so there is no vapour barrier etc, maybe in your experience even in a new build or extension it is an issue too, but as I say it looks to me to be the same thing as in if you say the vapour barrier isn't enough alone in a cold roof surely it's not enough in a warm roof because it would rot the top layer of osb on the warm roof insulation.",loft_roof_insulation,builder_contractor,practical_advice_explainer,theme_damp_moisture_condensation
8,1,9,39271,0.06542006679555225,1.0,3tfqdP68umQ,UgwEHSQyJJhbqwv039Z4AaABAg,Be careful fitting cavity wall insulation. It can ruin a house with damp and mould. (The insulation carries moisture from the wet external bricks across the void and into the internal walls). There is a company near me that used to specialise in cavity wall insulation but now the specialise in cavity wall insulation removal! Internal wall insulation can help but the damp air will condense somewhere. Keep windows slightly open. Extractor fans. Create less steam during cooking if possible.,internal_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_damp_moisture_condensation
8,1,10,11905,0.06491261177085145,0.8517132525342854,i41oW85zPm8,UgyqbHOeUwNEOxuGAQp4AaABAg,"If i have ceiling, then insulation, then osb loft boards (no gap from insulation). Then the loft space, then NO insulation in the pitched roof, just felt + batttons + tile. Do i have a cold roof. And have i created an issue boarding the loft over the insulation with no air gap in the second floor? The roof space is cold but not outside cold (i guess due to insulation leakage), so where is my dew point? Help please and thanks!",loft_roof_insulation,builder_contractor,practical_advice_explainer,theme_question_request
