video_id,comment_id,retrofit_topic,creator_type,video_type,primary_theme,nmf_text_conservative,exclusion_reason
jYNufQVIFfA,UgxUq-MVpFxzwQN6yMN4AaABAg,damp_condensation_moisture,builder_contractor,problem_warning_mistakes,theme_practical_advice,great video as always 👍,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
jKiXJOX4ol8,UgwFq63ZmuUMZzeOV1B4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_safety_risk_warning,watch out for fire.,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
PHeTx5sGL3A,UgzeK1BKzY63JFnfyHZ4AaABAg,solar_renewable_integration,diy_renovator_homeowner,problem_warning_mistakes,theme_practical_advice,always amazing video 🎉😂😂,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
w6wo2URorG4,UgwTJXtYT8CzfCAqmFx4AaABAg,heat_pump_heating_retrofit,builder_contractor,problem_warning_mistakes,theme_practical_advice,"as always, great video!",No retained TF-IDF features after applying the content-focused sensitivity stop-word list
i41oW85zPm8,UgyzhCtiY7yAFYg53lR4AaABAg,loft_roof_insulation,builder_contractor,practical_advice_explainer,theme_practical_advice,excellent as always!,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
QGrCOzSLBSU,Ugx8Qw7qoFF_gK49cdN4AaABAg,heat_pump_heating_retrofit,training_educational,practical_advice_explainer,theme_practical_advice,awesome as always,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
k5cYjwz-I1s,UgzR2kBOzkHXlCjcy694AaABAg,smart_heating_controls,installer_tradesperson,practical_advice_explainer,theme_practical_advice,great videos as always 👌,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
UCGpRpKKGV8,UgzFVfHa1ya3wede4Op4AaABAg,floor_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_practical_advice,awesome video as always,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
VrKYlQPHfno,UgyhTdiwp_H5ncvGxxR4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request,bradley cooper is youtube now?,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
LL6YhT_HkIY,UgxNfEVefVeIAleh-794AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_practical_advice,top video as always 👍👍,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
LL6YhT_HkIY,UgyUV2HhwE4IQwC6S-94AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_question_request,"thanks so much for the video. who can do this for me in birmingham, please?",No retained TF-IDF features after applying the content-focused sensitivity stop-word list
jUehMdNfGrY,UgxLdgrCJk4IXlPydiJ4AaABAg,solar_renewable_integration,installer_tradesperson,problem_warning_mistakes,theme_practical_advice,nice video and content as always 🇨🇮😎,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
Qf_30U_Erno,Ugz4GEMvfm4foVCrqyF4AaABAg,airtightness_draught_proofing,diy_renovator_homeowner,how_to_installation_demo,theme_safety_risk_warning,your content is fire.,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
fIhlXdk9PFg,Ugx3GROX6HDCeTYOkMJ4AaABAg,smart_heating_controls,installer_tradesperson,practical_advice_explainer,theme_practical_advice,awesome video as always!,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
9jRpO_kKgJM,UgzKSTff0h8q76aIy4N4AaABAg,smart_heating_controls,training_educational,how_to_installation_demo,theme_practical_advice,"as always, great video, thanks so much.",No retained TF-IDF features after applying the content-focused sensitivity stop-word list
qxtbHYf0OT0,Ugza0RnZNyK7JKvVofF4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_practical_advice,excellent as always 👍,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
C5lPpLUw-Ts,Ugwr2Msi9gMhtiGW-kx4AaABAg,external_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_practical_advice,great video as always!!,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
lpRNEcK3fGA,UgwMajbuHG70DALbPZd4AaABAg,heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,theme_cost_finance,thank you so much bill,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
gIhAyS38-f4,UgzlOLvFqB8ZSMOZxvF4AaABAg,smart_heating_controls,training_educational,how_to_installation_demo,theme_practical_advice,always an excellent video 👍,No retained TF-IDF features after applying the content-focused sensitivity stop-word list
