retrofit_topic,creator_type,video_type,comment_count,video_count
heat_pump_heating_retrofit,installer_tradesperson,how_to_installation_demo,2568,90
smart_heating_controls,installer_tradesperson,how_to_installation_demo,2241,151
heat_pump_heating_retrofit,training_educational,practical_advice_explainer,2111,24
damp_condensation_moisture,builder_contractor,problem_warning_mistakes,1189,9
solar_renewable_integration,training_educational,practical_advice_explainer,1019,8
airtightness_draught_proofing,diy_renovator_homeowner,how_to_installation_demo,1018,42
smart_heating_controls,diy_renovator_homeowner,how_to_installation_demo,984,18
solar_renewable_integration,installer_tradesperson,how_to_installation_demo,980,42
damp_condensation_moisture,training_educational,practical_advice_explainer,979,7
heat_pump_heating_retrofit,diy_renovator_homeowner,how_to_installation_demo,978,20
solar_renewable_integration,diy_renovator_homeowner,how_to_installation_demo,848,11
smart_heating_controls,installer_tradesperson,practical_advice_explainer,737,13
floor_insulation,diy_renovator_homeowner,how_to_installation_demo,721,13
heat_pump_heating_retrofit,training_educational,how_to_installation_demo,720,27
heat_pump_heating_retrofit,installer_tradesperson,practical_advice_explainer,701,27
solar_renewable_integration,training_educational,how_to_installation_demo,648,8
loft_roof_insulation,diy_renovator_homeowner,how_to_installation_demo,639,25
damp_condensation_moisture,diy_renovator_homeowner,how_to_installation_demo,631,14
smart_heating_controls,training_educational,how_to_installation_demo,621,13
ventilation_mvhr,diy_renovator_homeowner,how_to_installation_demo,595,24
loft_roof_insulation,builder_contractor,practical_advice_explainer,554,3
loft_roof_insulation,installer_tradesperson,how_to_installation_demo,531,21
internal_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,531,9
loft_roof_insulation,builder_contractor,how_to_installation_demo,512,17
airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,508,12
damp_condensation_moisture,diy_renovator_homeowner,practical_advice_explainer,495,4
floor_insulation,diy_renovator_homeowner,project_walkthrough,486,5
airtightness_draught_proofing,training_educational,practical_advice_explainer,470,3
airtightness_draught_proofing,builder_contractor,how_to_installation_demo,457,13
heat_pump_heating_retrofit,diy_renovator_homeowner,problem_warning_mistakes,450,4
loft_roof_insulation,training_educational,problem_warning_mistakes,425,3
airtightness_draught_proofing,builder_contractor,problem_warning_mistakes,423,6
airtightness_draught_proofing,training_educational,how_to_installation_demo,412,11
smart_heating_controls,installer_tradesperson,problem_warning_mistakes,410,6
ventilation_mvhr,training_educational,practical_advice_explainer,393,6
loft_roof_insulation,builder_contractor,problem_warning_mistakes,381,4
heat_pump_heating_retrofit,training_educational,project_walkthrough,372,3
whole_house_deep_retrofit,builder_contractor,project_walkthrough,369,5
airtightness_draught_proofing,diy_renovator_homeowner,problem_warning_mistakes,367,9
ventilation_mvhr,training_educational,how_to_installation_demo,360,15
solar_renewable_integration,diy_renovator_homeowner,project_walkthrough,360,3
cavity_wall_insulation,builder_contractor,problem_warning_mistakes,357,1
solar_renewable_integration,installer_tradesperson,project_walkthrough,356,4
internal_wall_insulation,builder_contractor,how_to_installation_demo,338,14
ventilation_mvhr,builder_contractor,how_to_installation_demo,337,14
windows_doors_glazing,builder_contractor,how_to_installation_demo,336,4
internal_wall_insulation,installer_tradesperson,how_to_installation_demo,330,9
floor_insulation,builder_contractor,how_to_installation_demo,328,7
heat_pump_heating_retrofit,builder_contractor,practical_advice_explainer,324,2
external_wall_insulation,builder_contractor,problem_warning_mistakes,317,4
heat_pump_heating_retrofit,diy_renovator_homeowner,practical_advice_explainer,314,6
general_energy_retrofit,diy_renovator_homeowner,practical_advice_explainer,314,2
loft_roof_insulation,installer_tradesperson,problem_warning_mistakes,307,6
ventilation_mvhr,installer_tradesperson,how_to_installation_demo,295,28
damp_condensation_moisture,installer_tradesperson,problem_warning_mistakes,291,8
damp_condensation_moisture,diy_renovator_homeowner,project_walkthrough,291,1
general_energy_retrofit,training_educational,practical_advice_explainer,284,6
external_wall_insulation,builder_contractor,how_to_installation_demo,281,11
smart_heating_controls,diy_renovator_homeowner,problem_warning_mistakes,273,1
general_energy_retrofit,builder_contractor,project_walkthrough,249,1
solar_renewable_integration,diy_renovator_homeowner,problem_warning_mistakes,240,1
external_wall_insulation,installer_tradesperson,how_to_installation_demo,231,14
floor_insulation,training_educational,practical_advice_explainer,230,2
ventilation_mvhr,installer_tradesperson,practical_advice_explainer,215,6
ventilation_mvhr,builder_contractor,practical_advice_explainer,214,1
airtightness_draught_proofing,training_educational,problem_warning_mistakes,212,2
internal_wall_insulation,training_educational,problem_warning_mistakes,198,1
loft_roof_insulation,diy_renovator_homeowner,problem_warning_mistakes,188,3
whole_house_deep_retrofit,training_educational,practical_advice_explainer,182,1
internal_wall_insulation,training_educational,practical_advice_explainer,171,2
loft_roof_insulation,training_educational,practical_advice_explainer,170,5
solar_renewable_integration,installer_tradesperson,problem_warning_mistakes,163,3
smart_heating_controls,training_educational,practical_advice_explainer,162,2
internal_wall_insulation,diy_renovator_homeowner,problem_warning_mistakes,159,1
windows_doors_glazing,diy_renovator_homeowner,how_to_installation_demo,158,8
ventilation_mvhr,installer_tradesperson,problem_warning_mistakes,156,6
loft_roof_insulation,installer_tradesperson,project_walkthrough,150,2
loft_roof_insulation,installer_tradesperson,practical_advice_explainer,149,4
heat_pump_heating_retrofit,installer_tradesperson,project_walkthrough,146,4
floor_insulation,installer_tradesperson,how_to_installation_demo,144,4
external_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,141,9
heat_pump_heating_retrofit,builder_contractor,problem_warning_mistakes,140,1
floor_insulation,training_educational,how_to_installation_demo,131,8
ventilation_mvhr,diy_renovator_homeowner,problem_warning_mistakes,118,2
external_wall_insulation,training_educational,how_to_installation_demo,114,7
heat_pump_heating_retrofit,builder_contractor,how_to_installation_demo,109,9
internal_wall_insulation,training_educational,how_to_installation_demo,107,6
heat_pump_heating_retrofit,diy_renovator_homeowner,project_walkthrough,103,1
damp_condensation_moisture,diy_renovator_homeowner,problem_warning_mistakes,100,6
loft_roof_insulation,training_educational,how_to_installation_demo,99,7
cavity_wall_insulation,installer_tradesperson,how_to_installation_demo,98,8
smart_heating_controls,builder_contractor,how_to_installation_demo,98,6
smart_heating_controls,diy_renovator_homeowner,practical_advice_explainer,85,2
windows_doors_glazing,installer_tradesperson,how_to_installation_demo,83,16
loft_roof_insulation,diy_renovator_homeowner,practical_advice_explainer,81,3
ventilation_mvhr,diy_renovator_homeowner,practical_advice_explainer,76,2
windows_doors_glazing,training_educational,how_to_installation_demo,67,1
airtightness_draught_proofing,diy_renovator_homeowner,project_walkthrough,66,5
solar_renewable_integration,installer_tradesperson,practical_advice_explainer,63,6
damp_condensation_moisture,installer_tradesperson,how_to_installation_demo,60,8
damp_condensation_moisture,builder_contractor,how_to_installation_demo,58,10
damp_condensation_moisture,training_educational,how_to_installation_demo,51,5
heat_pump_heating_retrofit,installer_tradesperson,problem_warning_mistakes,49,2
damp_condensation_moisture,training_educational,problem_warning_mistakes,46,4
smart_heating_controls,builder_contractor,problem_warning_mistakes,39,1
internal_wall_insulation,diy_renovator_homeowner,practical_advice_explainer,38,1
airtightness_draught_proofing,diy_renovator_homeowner,practical_advice_explainer,34,2
smart_heating_controls,training_educational,project_walkthrough,33,1
airtightness_draught_proofing,installer_tradesperson,practical_advice_explainer,31,5
external_wall_insulation,builder_contractor,practical_advice_explainer,26,3
airtightness_draught_proofing,builder_contractor,practical_advice_explainer,26,2
general_energy_retrofit,installer_tradesperson,how_to_installation_demo,25,3
windows_doors_glazing,training_educational,project_walkthrough,24,1
cavity_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,20,4
general_energy_retrofit,training_educational,how_to_installation_demo,20,1
internal_wall_insulation,builder_contractor,problem_warning_mistakes,20,1
cavity_wall_insulation,builder_contractor,how_to_installation_demo,18,5
loft_roof_insulation,diy_renovator_homeowner,project_walkthrough,16,1
windows_doors_glazing,diy_renovator_homeowner,practical_advice_explainer,15,2
loft_roof_insulation,builder_contractor,project_walkthrough,15,1
cavity_wall_insulation,installer_tradesperson,problem_warning_mistakes,14,5
cavity_wall_insulation,training_educational,how_to_installation_demo,14,3
