topic_number,provisional_label,provisional_topic_type,provisional_label_confidence,top_10_terms,top_20_terms,dominant_comment_count,dominant_comment_share,unique_videos,largest_single_video_share,median_relative_dominant_loading,mean_relative_dominant_loading,retrofit_topic_distribution,creator_type_distribution,video_type_distribution,existing_primary_theme_distribution,sampling_mean_cosine,sampling_median_cosine,sampling_minimum_cosine,sampling_mean_top20_jaccard,sampling_minimum_top20_jaccard,sampling_mean_absolute_prevalence_difference,matched_sensitivity_topic_number,preprocessing_cosine_similarity,preprocessing_top20_jaccard,preprocessing_absolute_prevalence_difference,sensitivity_top_20_terms,review_cues,researcher_final_label,researcher_topic_type,researcher_interpretation,researcher_confidence_1_to_5,retain_as_distinct_topic,possible_overlap_with_topic,researcher_notes
1,"Household retrofit experience, older homes and general problems",mixed,moderate,house | not | just | when | never | years | no | like | good | more,house | not | just | when | never | years | no | like | good | more | old | time | heating | new | way | over | people | windows | problem | really,5105,0.12027896237306505,693,0.01762977473065622,0.4319432862958904,0.4776723277581098,"heat_pump_heating_retrofit (1,220; 23.9%) | airtightness_draught_proofing (766; 15.0%) | damp_condensation_moisture (630; 12.3%) | smart_heating_controls (582; 11.4%) | loft_roof_insulation (331; 6.5%)","diy_renovator_homeowner (1,587; 31.1%) | training_educational (1,374; 26.9%) | installer_tradesperson (1,274; 25.0%) | builder_contractor (870; 17.0%)","how_to_installation_demo (2,468; 48.3%) | practical_advice_explainer (1,317; 25.8%) | problem_warning_mistakes (972; 19.0%) | project_walkthrough (348; 6.8%)","theme_practical_advice (1,423; 27.9%) | theme_question_request (1,061; 20.8%) | theme_personal_experience (520; 10.2%) | theme_cost_finance (482; 9.4%) | theme_damp_moisture_condensation (421; 8.2%)",0.9247046909465768,0.9200268445628744,0.8267162474889846,0.6585643142464732,0.3793103448275862,0.0286652529893385,5,0.8096413214289736,0.3333333333333333,0.0372497949341195,house | heating | when | water | room | no | temperature | hot | old | years | boiler | just | cold | more | time | windows | radiators | winter | set | year,,,,,,,,
2,Spray foam and foam insulation,technical_subject,high,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | foam not | attic | seal | cell foam | wool | mortgage,1636,0.03854581438635346,220,0.11858190709046455,0.5482989829758171,0.5769375840229701,loft_roof_insulation (461; 28.2%) | airtightness_draught_proofing (379; 23.2%) | damp_condensation_moisture (279; 17.1%) | internal_wall_insulation (115; 7.0%) | floor_insulation (114; 7.0%),builder_contractor (792; 48.4%) | diy_renovator_homeowner (361; 22.1%) | installer_tradesperson (271; 16.6%) | training_educational (212; 13.0%),how_to_installation_demo (738; 45.1%) | problem_warning_mistakes (611; 37.3%) | practical_advice_explainer (148; 9.0%) | project_walkthrough (139; 8.5%),theme_product_material_tool (588; 35.9%) | theme_question_request (314; 19.2%) | theme_practical_advice (231; 14.1%) | theme_energy_performance (173; 10.6%) | theme_damp_moisture_condensation (116; 7.1%),0.999302409441588,0.9993241868039486,0.999082979916769,0.9523809523809524,0.9047619047619048,0.0008229688303337,2,0.999648565515708,1.0,0.0006536953251306,foam | spray | spray foam | cell | use | foam insulation | closed | closed cell | expanding | foam board | board | expanding foam | cell spray | use spray | foam not | attic | seal | cell foam | wool | mortgage,,,,,,,,
3,"What, which and specification questions",knowledge_sharing_behaviour,moderate,what | what happens | happens | know what | what brand | using | what would | what kind | brand | kind,what | what happens | happens | know what | what brand | using | what would | what kind | brand | kind | what cost | what did | what size | size | called | know | cost | what type | use | doing,2806,0.06611219753551822,647,0.0135424091233072,0.5502470344942825,0.5848965716572934,heat_pump_heating_retrofit (617; 22.0%) | smart_heating_controls (371; 13.2%) | solar_renewable_integration (319; 11.4%) | airtightness_draught_proofing (282; 10.0%) | damp_condensation_moisture (245; 8.7%),installer_tradesperson (892; 31.8%) | diy_renovator_homeowner (766; 27.3%) | training_educational (668; 23.8%) | builder_contractor (480; 17.1%),"how_to_installation_demo (1,558; 55.5%) | practical_advice_explainer (619; 22.1%) | problem_warning_mistakes (430; 15.3%) | project_walkthrough (199; 7.1%)","theme_question_request (2,076; 74.0%) | theme_practical_advice (190; 6.8%) | theme_energy_performance (118; 4.2%) | theme_cost_finance (96; 3.4%) | theme_product_material_tool (79; 2.8%)",0.9994135598694942,0.9994523364133276,0.9991269908364095,0.8796536796536797,0.8181818181818182,0.0025649578238677,3,0.9997075902627294,0.9047619047619048,0.007030363279115,what | what would | using | what happens | happens | what brand | what kind | know what | brand | kind | what did | what cost | what size | size | doing | use | cost | called | what type | type,,,,,,,,
4,"How-to, implementation and cost questions",knowledge_sharing_behaviour,moderate,how | cost | how did | how does | how long | know | long | how would | know how | how cost,how | cost | how did | how does | how long | know | long | how would | know how | how cost | how know | video how | how fix | fix | how install | not how | did cost | does cost | insulate | set,2369,0.05581603562424899,621,0.013085690164626424,0.5069129560021723,0.5481544859336483,heat_pump_heating_retrofit (577; 24.4%) | smart_heating_controls (384; 16.2%) | solar_renewable_integration (274; 11.6%) | airtightness_draught_proofing (209; 8.8%) | damp_condensation_moisture (181; 7.6%),installer_tradesperson (795; 33.6%) | diy_renovator_homeowner (702; 29.6%) | training_educational (527; 22.2%) | builder_contractor (345; 14.6%),"how_to_installation_demo (1,370; 57.8%) | practical_advice_explainer (469; 19.8%) | problem_warning_mistakes (352; 14.9%) | project_walkthrough (178; 7.5%)","theme_question_request (1,650; 69.6%) | theme_practical_advice (226; 9.5%) | theme_energy_performance (143; 6.0%) | theme_cost_finance (108; 4.6%) | theme_personal_experience (69; 2.9%)",0.9970293562441108,0.998821005253226,0.9913064779471428,0.811029550159985,0.7391304347826086,0.0024514205901263,4,0.9991934360560734,0.7391304347826086,0.0068371795369804,how | cost | how did | how does | how long | know | how would | long | know how | how cost | how know | how fix | would | fix | how install | hi | not how | insulate | did cost | how insulate,,,,,,,,
5,Heat pumps and heating systems,technical_subject,high,heat | pump | heat pump | gas | water | pumps | heating | heat pumps | boiler | hot,heat | pump | heat pump | gas | water | pumps | heating | heat pumps | boiler | hot | hot water | temperature | electric | air | radiators | furnace | heater | loss | heat loss | run,2965,0.069858398322456,363,0.05834738617200674,0.45385653624825784,0.48582014014847935,"heat_pump_heating_retrofit (2,291; 77.3%) | smart_heating_controls (221; 7.5%) | solar_renewable_integration (68; 2.3%) | general_energy_retrofit (62; 2.1%) | damp_condensation_moisture (55; 1.9%)","installer_tradesperson (1,114; 37.6%) | training_educational (1,062; 35.8%) | diy_renovator_homeowner (528; 17.8%) | builder_contractor (261; 8.8%)","practical_advice_explainer (1,427; 48.1%) | how_to_installation_demo (1,192; 40.2%) | problem_warning_mistakes (176; 5.9%) | project_walkthrough (170; 5.7%)","theme_question_request (1,066; 36.0%) | theme_practical_advice (545; 18.4%) | theme_energy_performance (418; 14.1%) | theme_cost_finance (411; 13.9%) | theme_personal_experience (282; 9.5%)",0.9918326051866224,0.9986892243802634,0.9416953566723936,0.9056277056277058,0.4285714285714285,0.0072766701019223,7,0.9705298242268724,0.6666666666666666,0.0171052397329783,heat | pump | heat pump | pumps | gas | heat pumps | furnace | electric | air | water | boiler | loss | heat loss | source | cost | unit | heating | gas boiler | heater | run,,,,,,,,
6,"Praise, gratitude and social endorsement",social_interaction,high,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question,video | great | great video | thanks | thank | video thanks | hi | thanks video | videos | question | informative | thanks great | video what | job | helpful | nice | excellent | sharing | good | really,3750,0.08835379214475886,590,0.0208,0.49416688363260947,0.525390999919965,smart_heating_controls (824; 22.0%) | heat_pump_heating_retrofit (815; 21.7%) | airtightness_draught_proofing (434; 11.6%) | solar_renewable_integration (317; 8.5%) | damp_condensation_moisture (284; 7.6%),"diy_renovator_homeowner (1,244; 33.2%) | installer_tradesperson (1,020; 27.2%) | training_educational (948; 25.3%) | builder_contractor (538; 14.3%)","how_to_installation_demo (2,067; 55.1%) | practical_advice_explainer (740; 19.7%) | problem_warning_mistakes (657; 17.5%) | project_walkthrough (286; 7.6%)","theme_question_request (1,583; 42.2%) | theme_practical_advice (656; 17.5%) | theme_personal_experience (345; 9.2%) | theme_energy_performance (293; 7.8%) | theme_cost_finance (207; 5.5%)",0.9989446013053378,0.9988935801480522,0.9984884342067378,0.9168831168831169,0.8181818181818182,0.0030511868999234,16,0.0957850265160241,0.0526315789473684,0.0479285611434388,never | seen | never seen | never knew | knew | years | heard | never heard | would never | before | never use | work | like | good | job | way | years never | people | new | never thought,inspect_preprocessing_dependence | expected_social_topic_preprocessing_change,,,,,,,
7,"Why questions, alternatives and challenges",knowledge_sharing_behaviour,moderate,why | why not | not | use | why would | not just | not use | why did | just | instead,why | why not | not | use | why would | not just | not use | why did | just | instead | understand | just use | why use | why does | know why | would not | understand why | illegal | not understand | why no,1754,0.04132601371250854,523,0.022234891676168756,0.5257121135734864,0.5566724732594104,heat_pump_heating_retrofit (376; 21.4%) | smart_heating_controls (237; 13.5%) | solar_renewable_integration (216; 12.3%) | airtightness_draught_proofing (182; 10.4%) | loft_roof_insulation (164; 9.4%),installer_tradesperson (594; 33.9%) | diy_renovator_homeowner (448; 25.5%) | training_educational (417; 23.8%) | builder_contractor (295; 16.8%),how_to_installation_demo (993; 56.6%) | practical_advice_explainer (400; 22.8%) | problem_warning_mistakes (262; 14.9%) | project_walkthrough (99; 5.6%),"theme_question_request (1,264; 72.1%) | theme_practical_advice (224; 12.8%) | theme_energy_performance (73; 4.2%) | theme_product_material_tool (42; 2.4%) | theme_cost_finance (37; 2.1%)",0.9793143543890782,0.99580543935263,0.9501240403960964,0.7994541690193865,0.6666666666666666,0.0044681063131504,6,0.9712770562408742,0.8181818181818182,0.0058272394337983,why | why not | why would | why did | use | not | not just | not use | just | instead | why does | why use | illegal | know why | why no | understand why | just use | understand | question why | reason why,,,,,,,,
8,"Solar PV, batteries and grid integration",technical_subject,high,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost,solar | panels | battery | solar panels | power | panel | inverter | batteries | grid | cost | charge | energy | use | solar panel | electric | kwh | more | electricity | need | day,3400,0.08010743821124802,424,0.033529411764705884,0.515140061861834,0.5454871440452955,"solar_renewable_integration (2,234; 65.7%) | heat_pump_heating_retrofit (506; 14.9%) | smart_heating_controls (299; 8.8%) | loft_roof_insulation (90; 2.6%) | ventilation_mvhr (42; 1.2%)","training_educational (1,253; 36.9%) | installer_tradesperson (1,125; 33.1%) | diy_renovator_homeowner (897; 26.4%) | builder_contractor (125; 3.7%)","how_to_installation_demo (1,633; 48.0%) | practical_advice_explainer (1,056; 31.1%) | project_walkthrough (411; 12.1%) | problem_warning_mistakes (300; 8.8%)","theme_question_request (1,256; 36.9%) | theme_cost_finance (794; 23.4%) | theme_practical_advice (546; 16.1%) | theme_energy_performance (272; 8.0%) | theme_personal_experience (234; 6.9%)",0.9961703856462618,0.9972475792745278,0.9892592149018689,0.935064935064935,0.8181818181818182,0.0133260990051178,15,0.9951003617677724,0.8181818181818182,0.0010248434535636,solar | panels | battery | solar panels | power | panel | cost | inverter | batteries | grid | charge | energy | solar panel | more | use | electric | kwh | electricity | install | price,,,,,,,,
9,Does it work? Performance and troubleshooting,mixed,moderate,does | does not | not | work | how does | does work | not work | mean | need | what does,does | does not | not | work | how does | does work | not work | mean | need | what does | matter | not need | does cost | does mean | why does | know | does know | where does | does need | foam does,2435,0.05737106236599675,619,0.011498973305954825,0.43864290819117485,0.4792139914007196,heat_pump_heating_retrofit (529; 21.7%) | smart_heating_controls (521; 21.4%) | airtightness_draught_proofing (246; 10.1%) | solar_renewable_integration (223; 9.2%) | ventilation_mvhr (177; 7.3%),installer_tradesperson (844; 34.7%) | diy_renovator_homeowner (670; 27.5%) | training_educational (544; 22.3%) | builder_contractor (377; 15.5%),"how_to_installation_demo (1,380; 56.7%) | practical_advice_explainer (533; 21.9%) | problem_warning_mistakes (390; 16.0%) | project_walkthrough (132; 5.4%)","theme_question_request (1,262; 51.8%) | theme_practical_advice (415; 17.0%) | theme_energy_performance (169; 6.9%) | theme_cost_finance (123; 5.1%) | theme_personal_experience (94; 3.9%)",0.976365160870406,0.993386650956692,0.936982520945793,0.7457481648785996,0.6,0.0076835197898637,8,0.958933570900053,0.6666666666666666,0.0016478868049935,does | does not | work | how does | does work | not work | not | mean | what does | matter | does cost | why does | does mean | where does | does know | when | does need | does matter | does heat | come,,,,,,,,
10,Reported actions and implementation experience,knowledge_sharing_behaviour,low,did | did not | how did | not | why did | did use | what did | where did | use | did cost,did | did not | how did | not | why did | did use | what did | where did | use | did cost | job | not know | cost | install | say | work | video did | know | did install | not use,1714,0.04038357326296445,497,0.022170361726954493,0.44263257058435307,0.46787095956992125,heat_pump_heating_retrofit (364; 21.2%) | smart_heating_controls (215; 12.5%) | loft_roof_insulation (181; 10.6%) | airtightness_draught_proofing (167; 9.7%) | solar_renewable_integration (154; 9.0%),diy_renovator_homeowner (680; 39.7%) | installer_tradesperson (447; 26.1%) | builder_contractor (300; 17.5%) | training_educational (287; 16.7%),how_to_installation_demo (998; 58.2%) | problem_warning_mistakes (315; 18.4%) | practical_advice_explainer (246; 14.4%) | project_walkthrough (155; 9.0%),theme_question_request (680; 39.7%) | theme_personal_experience (363; 21.2%) | theme_practical_advice (258; 15.1%) | theme_energy_performance (129; 7.5%) | theme_cost_finance (94; 5.5%),0.7421645786433844,0.9927511994367252,0.0173345406166381,0.4952719744024091,0.0,0.0093666952145296,9,0.9936563775399856,0.6,0.0046616841385064,did | did not | how did | why did | did use | what did | where did | use | did cost | job | cost | work | not | years | ago | install | before | years ago | after | did install,inspect_sampling_stability,,,,,,,
