video_id,comment_id,retrofit_topic,creator_type,video_type,primary_theme,comment_text_no_urls,nmf_text_conservative,exclusion_reason
LVYSz1CuuDw,Ugz40Vh18NILr8niaSZ4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request,So is he a thatcher ?,so is he a thatcher ?,No retained TF-IDF features after stop-word and document-frequency filtering
LVYSz1CuuDw,UgydyxV2XfsSlZPzUrZ4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_cost_finance,$ 1500 ?,$ 1500 ?,No retained TF-IDF features after stop-word and document-frequency filtering
ZInm0mt0pXQ,UgwDCg_p9RfdAKU-cSx4AaABAg,external_wall_insulation,builder_contractor,how_to_installation_demo,theme_safety_risk_warning,Fire 🔥 fire 🔥,fire 🔥 fire 🔥,No retained TF-IDF features after stop-word and document-frequency filtering
ZInm0mt0pXQ,Ugxj8jqEYp-0jT76hZZ4AaABAg,external_wall_insulation,builder_contractor,how_to_installation_demo,theme_cost_finance,At $8 a can!,at $8 a can!,No retained TF-IDF features after stop-word and document-frequency filtering
kwVleBvWH64,UgzHBpYVZgxjUjnCzNx4AaABAg,ventilation_mvhr,builder_contractor,how_to_installation_demo,theme_question_request,is it call marbominos?!!!,is it call marbominos?!!!,No retained TF-IDF features after stop-word and document-frequency filtering
cCLM8T1TtMU,UgyRQoDxMtXetpapnsR4AaABAg,external_wall_insulation,installer_tradesperson,how_to_installation_demo,theme_question_request,A klej ? Do styropianu ?,a klej ? do styropianu ?,No retained TF-IDF features after stop-word and document-frequency filtering
mobbhOH5teg,Ugx8meHeXAYSF-uiQqd4AaABAg,external_wall_insulation,builder_contractor,how_to_installation_demo,theme_question_request,Do you have a catalog?,do you have a catalog?,No retained TF-IDF features after stop-word and document-frequency filtering
co7pKcoVJu0,UgwkO-phrJEilQetBLN4AaABAg,external_wall_insulation,diy_renovator_homeowner,how_to_installation_demo,theme_cost_finance,Bill lavoro 😂😂😂,bill lavoro 😂😂😂,No retained TF-IDF features after stop-word and document-frequency filtering
dIPM5yk2u38,UgzFdOd2_nLDTZ3Kp-94AaABAg,airtightness_draught_proofing,installer_tradesperson,how_to_installation_demo,theme_safety_risk_warning,😢😢😢😢 Fire.. 😮😮,😢😢😢😢 fire.. 😮😮,No retained TF-IDF features after stop-word and document-frequency filtering
xcAwujfTN64,Ugz4BIPlpyV3huCGE2Z4AaABAg,solar_renewable_integration,installer_tradesperson,how_to_installation_demo,theme_question_request,Is this eternit?,is this eternit?,No retained TF-IDF features after stop-word and document-frequency filtering
